제목,등록일,연도,출처,최신판,판수,URL,URL2,계열키
2025년 예방접종대상감염병 관리지침,2025.05.20,2025,KDCA게시판+감염병포털,,8,https://www.kdca.go.kr/bbs/kdca/55/228295/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20250523095735415&q_clsfNo=-1,예방접종대상감염병관리지침
2025년 국가지정 입원치료병상 운영과 관리 지침,2025.05.16,2025,KDCA게시판,,5,https://www.kdca.go.kr/bbs/kdca/55/228294/artclView.do,,국가지정입원치료병상운영과관리지침
2025 검역업무지침,2025.05.07,2025,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/228293/artclView.do,,2025검역업무지침
2025년 레지오넬라증 관리지침,2025.04.23,2025,KDCA게시판+감염병포털,,8,https://www.kdca.go.kr/bbs/kdca/55/228292/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20250423131851611&q_clsfNo=-1,레지오넬라증관리지침
2025년 호흡기감염병 관리지침,2025.04.23,2025,KDCA게시판+감염병포털,,7,https://www.kdca.go.kr/bbs/kdca/55/228291/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20250423131734260&q_clsfNo=-1,호흡기감염병관리지침
2025년 아토피·천식 안심학교 운영안내서(초등학교용),2025.04.16,2025,KDCA게시판,,7,https://www.kdca.go.kr/bbs/kdca/55/228290/artclView.do,,아토피천식안심학교운영서
2025년 매독 신고 안내서,2025.03.31,2025,KDCA게시판,Y,2,https://www.kdca.go.kr/bbs/kdca/55/228289/artclView.do,,매독신고서
2025년도 한센병사업 관리지침,2025.03.27,2025,KDCA게시판+감염병포털,,8,https://www.kdca.go.kr/bbs/kdca/55/228288/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20250327084011146&q_clsfNo=-1,한센병사업관리지침
요양병원 감염병 진단 및 항생제 사용 지침,2025.03.26,2025,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/228287/artclView.do,,요양병원감염병진단항생제사용지침
「항생제 적정사용 관리(ASP) 시범사업」 FAQ 개정 안내 (2025. 3. 24. 기준)(오류 정정 파일재첨부),2025.03.25,2025,KDCA게시판,,2,https://www.kdca.go.kr/bbs/kdca/55/228286/artclView.do,,항생제적정사용관리시범사업FAQ
2025년도 진드기.설치류매개감염병 관리지침,2025.03.25,2025,KDCA게시판,,7,https://www.kdca.go.kr/bbs/kdca/55/228285/artclView.do,,진드기설치류매개감염병관리지침
2025년도 기생충감염병 관리지침,2025.03.24,2025,KDCA게시판,,8,https://www.kdca.go.kr/bbs/kdca/55/228284/artclView.do,,기생충감염병관리지침
2025년도 인수공통감염병 관리지침,2025.03.24,2025,KDCA게시판,,9,https://www.kdca.go.kr/bbs/kdca/55/228283/artclView.do,,인수공통감염병관리지침
2025년도 바이러스성 모기매개감염병 관리지침,2025.03.21,2025,KDCA게시판,,11,https://www.kdca.go.kr/bbs/kdca/55/228282/artclView.do,,바이러스성모기매개감염병관리지침
원인미상 비감염 집단발병 역학조사 가이드라인(2025),2025.03.21,2025,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/228281/artclView.do,,원인미상비감염집단발병역학조사가이드라인
2025년도 말라리아 관리지침,2025.03.19,2025,KDCA게시판,,24,https://www.kdca.go.kr/bbs/kdca/55/228280/artclView.do,,말라리아관리지침
2025년 지역사회 통합건강증진사업 안내(아토피·천식 예방관리),2025.03.18,2025,KDCA게시판,,11,https://www.kdca.go.kr/bbs/kdca/55/228279/artclView.do,https://www.kdca.go.kr/bbs/kdca/55/228258/artclView.do,지역사회통합건강증진사업
2025년 의료관련감염병 지역 의료기관 네트워크 운영 사업 지침,2025.03.12,2025,KDCA게시판,,2,https://www.kdca.go.kr/bbs/kdca/55/228278/artclView.do,,의료관련감염병지역의료기관네트워크운영사업지침
「다제내성결핵 치료 신약 사전심사 세부기준」,2025.03.04,2025,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/228277/artclView.do,,다제내성결핵치료신약사전심사세부기준
군중행사 감염병 위험평가 매뉴얼,2025.02.28,2025,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/228276/artclView.do,,군중행사감염병위험평가매뉴얼
2025년 엔테로바이러스감염증 수족구병 관리지침,2025.02.27,2025,KDCA게시판,,8,https://www.kdca.go.kr/bbs/kdca/55/228275/artclView.do,,엔테로바이러스감염증수족구병관리지침
2025년 수인성 및 식품매개감염병 관리지침,2025.02.27,2025,KDCA게시판,,9,https://www.kdca.go.kr/bbs/kdca/55/228274/artclView.do,,수인성식품매개감염병관리지침
2025년도 바이러스 간염 관리지침 (A형·B형·C형·E형),2025.02.18,2025,KDCA게시판,,4,https://www.kdca.go.kr/bbs/kdca/55/228273/artclView.do,,바이러스간염관리지침
소아청소년 마크로라이드 불응성 마이코플라스마 폐렴 2차 항생제 안전 사용 가이드,2025.02.06,2025,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/228272/artclView.do,,소아청소년마크로라이드불응성마이코플라스마폐렴2차항생제안전사용가이드
2025년 성매개감염병 관리지침,2025.02.05,2025,KDCA게시판+감염병포털,,12,https://www.kdca.go.kr/bbs/kdca/55/228270/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20250205155317271&q_clsfNo=-1,성매개감염병관리지침
2025년 HIV/AIDS 관리지침,2025.02.05,2025,KDCA게시판+감염병포털,,14,https://www.kdca.go.kr/bbs/kdca/55/228269/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20250715090240017&q_clsfNo=-1,HIV/AIDS관리지침
「2025 국제공인예방접종지정기관 운영가이드 개정판」,2025.02.04,2025,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/228268/artclView.do,,2025국제공인예방접종지정기관운영가이드
국가건강검진 검진의사 상담매뉴얼(정신건강검사 및 상담),2025.01.15,2025,KDCA게시판,Y,2,https://www.kdca.go.kr/bbs/kdca/55/228266/artclView.do,,국가건강검진검진의사상담매뉴얼
