연도,주차,기준일,급,감염병,금주신고수,연누계,5년주별평균,예년대비배수,열부분추출,출처호
2024,18,2024-05-04,3,지카바이러스감염증,0,0,0.0,,,17-18
2024,18,2024-05-04,3,엠폭스(원숭이두창),0,1,,,,17-18
2024,18,2024-05-04,3,매독(1기),13,316,,,,17-18
2024,18,2024-05-04,3,매독(2기),5,150,,,,17-18
2024,18,2024-05-04,3,매독(3기),1,26,,,,17-18
2024,18,2024-05-04,3,매독(선천성),0,3,,,,17-18
2024,18,2024-05-04,3,매독(잠복),13,429,,,,17-18
2024,22,2024-06-01,2,결핵,351,6466,374.0,0.94,,17-22
2024,22,2024-06-01,2,수두,784,13277,867.0,0.9,,17-22
2024,22,2024-06-01,2,홍역,0,38,0.0,,,17-22
2024,22,2024-06-01,2,콜레라,0,0,0.0,,,17-22
2024,22,2024-06-01,2,장티푸스,1,12,1.0,1.0,,17-22
2024,22,2024-06-01,2,파라티푸스,2,8,1.0,2.0,,17-22
2024,22,2024-06-01,2,세균성이질,0,13,1.0,0.0,,17-22
2024,22,2024-06-01,2,장출혈성대장균감염증,3,46,5.0,0.6,,17-22
2024,22,2024-06-01,2,A형간염,21,566,170.0,0.12,,17-22
2024,22,2024-06-01,2,백일해,281,1248,3.0,93.67,,17-22
2024,22,2024-06-01,2,유행성이하선염,196,2934,258.0,0.76,,17-22
2024,22,2024-06-01,2,풍진,0,0,0.0,,,17-22
2024,22,2024-06-01,2,수막구균 감염증,0,6,0.0,,,17-22
2024,22,2024-06-01,2,폐렴구균 감염증,2,164,8.0,0.25,,17-22
2024,22,2024-06-01,2,한센병,0,2,0.0,,,17-22
2024,22,2024-06-01,2,성홍열,123,1585,50.0,2.46,,17-22
2024,22,2024-06-01,2,반코마이신내성황색 포도알균(VRSA) 감염증,0,0,0.0,,,17-22
2024,22,2024-06-01,2,카바페넴내성장내세균목(CRE) 감염증,927,21406,458.0,2.02,,17-22
2024,22,2024-06-01,2,E형간염,15,260,,,,17-22
2024,22,2024-06-01,3,파상풍,0,3,1.0,0.0,,17-22
2024,22,2024-06-01,3,B형간염,5,112,7.0,0.71,,17-22
2024,22,2024-06-01,3,일본뇌염,0,0,0.0,,,17-22
2024,22,2024-06-01,3,C형간염,88,2801,195.0,0.45,,17-22
2024,22,2024-06-01,3,말라리아,10,103,15.0,0.67,,17-22
2024,22,2024-06-01,3,레지오넬라증,5,125,8.0,0.62,,17-22
