제목,등록일,연도,출처,게시판,최신판,판수,URL,URL2,계열키
감염병발생주보(CDWR) 14주 발간안내,2005.04.14,2005,KDCA게시판,공지사항,Y,1,https://www.kdca.go.kr/bbs/kdca/50/220051/artclView.do,,감염병발생주보14주발간
감염병발생주보(CDWR) 13주 발간안내,2005.04.13,2005,KDCA게시판,공지사항,Y,2,https://www.kdca.go.kr/bbs/kdca/50/220048/artclView.do,,감염병발생주보13주발간
2005년 전염병보고 및 정보관리지침,2005.04.12,2005,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227162/artclView.do,,전염병보고정보관리지침
2005년 결핵관리지침 발간 안내,2005.04.12,2005,KDCA게시판,공지사항,Y,1,https://www.kdca.go.kr/bbs/kdca/50/220045/artclView.do,,결핵관리지침발간
2005년 결핵관리지침,2005.04.04,2005,KDCA게시판+감염병포털,지침,,8,https://www.kdca.go.kr/bbs/kdca/55/227161/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180710528073288&q_clsfNo=0,결핵관리지침
감염병발생주보(CDWR) 12주 발간안내,2005.04.01,2005,KDCA게시판,공지사항,Y,2,https://www.kdca.go.kr/bbs/kdca/50/220036/artclView.do,,감염병발생주보12주발간
감염병발생주보(CDWR) 11주 발간안내,2005.03.24,2005,KDCA게시판,공지사항,,3,https://www.kdca.go.kr/bbs/kdca/50/220029/artclView.do,,감염병발생주보11주발간
감염병발생주보(CDWR) 10주 발간안내,2005.03.18,2005,KDCA게시판,공지사항,,3,https://www.kdca.go.kr/bbs/kdca/50/220026/artclView.do,,감염병발생주보10주발간
감염병발생주보(CDWR) 9주 발간안내,2005.03.18,2005,KDCA게시판,공지사항,,3,https://www.kdca.go.kr/bbs/kdca/50/220025/artclView.do,,감염병발생주보9주발간
감염병발생주보(CDWR) 8주 발간안내,2005.03.08,2005,KDCA게시판,공지사항,,3,https://www.kdca.go.kr/bbs/kdca/50/220023/artclView.do,,감염병발생주보8주발간
감염병발생주보(CDWR) 7주 발간안내,2005.03.08,2005,KDCA게시판,공지사항,,3,https://www.kdca.go.kr/bbs/kdca/50/220022/artclView.do,,감염병발생주보7주발간
2005년 크로이츠펠트-야콥병 표본감시 관리지침,2005.03.04,2005,KDCA게시판,지침,,3,https://www.kdca.go.kr/bbs/kdca/55/227160/artclView.do,,크로이츠펠트야콥병표본감시관리지침
감염병발생주보(CDWR) 6주 발간안내,2005.02.17,2005,KDCA게시판,공지사항,,3,https://www.kdca.go.kr/bbs/kdca/50/220020/artclView.do,,감염병발생주보6주발간
감염병발생주보(CDWR) 5주 발간안내,2005.02.07,2005,KDCA게시판,공지사항,,3,https://www.kdca.go.kr/bbs/kdca/50/220019/artclView.do,,감염병발생주보5주발간
감염병발생주보(CDWR) 4주 발간안내,2005.02.03,2005,KDCA게시판,공지사항,,2,https://www.kdca.go.kr/bbs/kdca/50/220018/artclView.do,,감염병발생주보4주발간
감염병발생주보(CDWR) 3주 발간안내,2005.02.01,2005,KDCA게시판,공지사항,,2,https://www.kdca.go.kr/bbs/kdca/50/220016/artclView.do,,감염병발생주보3주발간
감염병발생주보(CDWR) 2주 발간안내,2005.01.27,2005,KDCA게시판,공지사항,,2,https://www.kdca.go.kr/bbs/kdca/50/220015/artclView.do,,감염병발생주보2주발간
감염병발생주보(CDWR) 1주 발간 안내,2005.01.14,2005,KDCA게시판,공지사항,,2,https://www.kdca.go.kr/bbs/kdca/50/220013/artclView.do,,감염병발생주보1주발간
2004년 말라리아 관리지침,2019.03.13,2004,감염병포털,,,24,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20190313434648030&q_clsfNo=0,,말라리아관리지침
2004년 감염병역학조사보고서 발간 안내,2005.06.30,2004,KDCA게시판,공지사항,Y,1,https://www.kdca.go.kr/bbs/kdca/50/220110/artclView.do,,감염병역학조사보고서발간
학술 및 전산용역사업편람(2004년도),2005.05.07,2004,KDCA게시판,지침,,5,https://www.kdca.go.kr/bbs/kdca/55/227173/artclView.do,https://www.kdca.go.kr/bbs/kdca/55/227172/artclView.do,학술전산용역사업편람
감염병발생주보(CDWR) 51주 발간안내,2004.12.28,2004,KDCA게시판,공지사항,,2,https://www.kdca.go.kr/bbs/kdca/50/220011/artclView.do,,감염병발생주보51주발간
감염병발생주보(CDWR) 50주 발간안내,2004.12.20,2004,KDCA게시판,공지사항,,2,https://www.kdca.go.kr/bbs/kdca/50/220009/artclView.do,,감염병발생주보50주발간
감염병발생주보(CDWR) 49주 발간안내,2004.12.13,2004,KDCA게시판,공지사항,,2,https://www.kdca.go.kr/bbs/kdca/50/220006/artclView.do,,감염병발생주보49주발간
감염병발생주보(CDWR) 48주 발간안내,2004.12.07,2004,KDCA게시판,공지사항,Y,1,https://www.kdca.go.kr/bbs/kdca/50/220005/artclView.do,,감염병발생주보48주발간
감염병발생주보(CDWR) 44주 수정발간 안내,2004.12.02,2004,KDCA게시판,공지사항,Y,1,https://www.kdca.go.kr/bbs/kdca/50/220004/artclView.do,,감염병발생주보44주수정발간
감염병발생주보(CDWR) 47주 발간안내,2004.12.02,2004,KDCA게시판,공지사항,,2,https://www.kdca.go.kr/bbs/kdca/50/220002/artclView.do,,감염병발생주보47주발간
감염병발생주보(CDWR) 46주 발간안내,2004.11.23,2004,KDCA게시판,공지사항,Y,1,https://www.kdca.go.kr/bbs/kdca/50/220000/artclView.do,,감염병발생주보46주발간
감염병발생주보(CDWR) 45주 발간안내,2004.11.16,2004,KDCA게시판,공지사항,,2,https://www.kdca.go.kr/bbs/kdca/50/219999/artclView.do,,감염병발생주보45주발간
감염병발생주보(CDWR) 43주 발간안내,2004.11.03,2004,KDCA게시판,공지사항,,2,https://www.kdca.go.kr/bbs/kdca/50/219998/artclView.do,,감염병발생주보43주발간
감염병발생주보(CDWR) 42주 발간안내,2004.10.26,2004,KDCA게시판,공지사항,,2,https://www.kdca.go.kr/bbs/kdca/50/219996/artclView.do,,감염병발생주보42주발간
