연도,주차,검체수,살모넬라_건수,살모넬라_분리율,병원성대장균_건수,병원성대장균_분리율,세균성이질_건수,세균성이질_분리율,장염비브리오_건수,장염비브리오_분리율,비브리오콜레라_건수,비브리오콜레라_분리율,캄필로박터_건수,캄필로박터_분리율,클로스트리듐퍼프린젠스_건수,클로스트리듐퍼프린젠스_분리율,황색포도알균_건수,황색포도알균_분리율,바실루스세레우스_건수,바실루스세레우스_분리율,합계_건수,합계_분리율,출처호
2025,27,300,18,6.0,33,11.0,0,0.0,0,0.0,0,0.0,4,1.3,8,2.7,3,1.0,7,2.3,73,24.3,18-30
2025,28,306,22,7.2,25,8.2,0,0.0,0,0.0,0,0.0,5,1.6,4,1.3,9,2.9,14,4.6,80,26.1,18-30
2025,29,213,18,8.5,27,12.7,0,0.0,0,0.0,0,0.0,4,1.9,5,2.3,4,1.9,10,4.7,69,32.4,18-30
2025,30,339,19,5.6,36,10.6,0,0.0,0,0.0,0,0.0,9,2.7,5,1.5,8,2.4,18,5.3,97,28.6,18-34
2025,31,328,22,6.7,40,12.2,0,0.0,0,0.0,0,0.0,1,0.3,9,2.7,10,3.0,9,2.7,92,28.0,18-34
2025,32,294,20,6.8,25,8.5,0,0.0,0,0.0,0,0.0,9,3.1,9,3.1,9,3.1,15,5.1,87,29.6,18-34
2025,33,229,12,5.2,37,16.2,0,0.0,0,0.0,0,0.0,4,1.7,9,3.9,9,3.9,6,2.6,78,34.1,18-34
2025,34,298,20,6.7,41,13.8,0,0.0,0,0.0,0,0.0,3,1.0,5,1.7,9,3.1,14,4.7,92,30.9,18-38
2025,35,316,22,7.0,24,7.6,0,0.0,0,0.0,0,0.0,1,0.3,5,1.6,11,3.5,10,3.2,73,23.1,18-38
2025,36,313,33,10.5,39,12.5,0,0.0,0,0.0,0,0.0,3,1.0,0,0.0,15,4.8,14,4.5,106,33.9,18-38
2025,37,185,13,7.0,20,10.8,0,0.0,0,0.0,0,0.0,3,1.6,3,1.6,2,1.1,8,4.3,49,26.5,18-38
2025,39,273,12,4.4,19,7.0,0,0.0,0,0.0,0,0.0,0,0.0,16,5.9,10,3.7,7,2.6,65,23.8,18-42
2025,40,205,6,2.9,7,3.4,0,0.0,0,0.0,0,0.0,1,0.5,2,1.0,10,4.9,3,1.5,29,14.1,18-42
2025,41,191,13,6.8,14,7.3,0,0.0,0,0.0,0,0.0,0,0.0,5,2.6,6,3.1,2,1.0,40,20.9,18-42
2025,42,168,8,4.8,5,3.0,0,0.0,0,0.0,0,0.0,2,1.2,1,0.6,2,1.2,4,2.4,22,13.1,18-42
2025,43,222,15,6.8,17,7.7,0,0.0,0,0.0,0,0.0,0,0.0,5,2.3,4,1.8,6,3.6,50,22.5,18-46
2025,44,234,11,4.7,13,5.6,0,0.0,3,1.3,0,0.0,0,0.0,6,2.6,10,4.3,5,2.1,48,20.5,18-46
2025,45,188,8,4.3,8,4.3,0,0.0,0,0.0,0,0.0,1,0.5,7,3.7,7,3.7,2,1.1,34,18.1,18-46
2025,46,144,4,2.8,11,7.6,0,0.0,0,0.0,0,0.0,0,0.0,3,2.1,4,2.8,6,4.2,28,19.4,18-46
2025,47,231,11,4.8,16,6.9,0,0.0,0,0.0,0,0.0,1,0.4,6,2.6,12,5.2,6,2.6,52,22.5,18-50
2025,48,202,2,1.0,3,1.5,0,0.0,0,0.0,0,0.0,1,0.5,5,2.5,4,2.0,2,1.0,19,9.4,18-50
2025,49,197,2,1.0,5,2.5,0,0.0,0,0.0,0,0.0,0,0.0,4,2.0,5,2.5,6,3.0,22,11.2,18-50
2025,50,239,5,2.1,12,5.0,0,0.0,0,0.0,0,0.0,3,1.3,3,1.3,0,0.0,3,1.3,26,10.9,19-2
2025,51,190,3,1.6,5,2.6,0,0.0,0,0.0,0,0.0,0,0.0,7,3.7,3,1.6,5,2.6,3,12.1,19-2
2025,52,237,1,0.4,4,1.7,0,0.0,0,0.0,0,0.0,0,0.0,2,0.8,6,2.5,4,1.7,17,7.2,19-2
2026,1,211,6,2.8,7,3.3,0,0.0,0,0.0,0,0.0,3,1.4,9,4.3,3,1.4,2,0.9,30,14.2,19-2
2026,2,338,4,1.2,12,3.6,0,0.0,0,0.0,0,0.0,0,0.0,7,2.1,11,3.3,10,3.0,44,13.0,19-6
2026,3,326,4,1.2,14,4.3,0,0.0,0,0.0,0,0.0,4,1.2,6,1.8,1,0.3,5,1.5,34,10.4,19-6
2026,4,298,2,0.7,6,2.0,0,0.0,0,0.0,0,0.0,6,2.0,5,1.7,6,2.0,8,2.7,33,11.1,19-6
2026,5,238,4,1.7,2,0.8,0,0.0,0,0.0,0,0.0,2,0.8,8,3.4,3,1.3,4,1.7,23,9.7,19-6
2026,7,323,4,1.2,2,0.6,0,0.0,0,0.0,0,0.0,0,0.0,8,2.5,3,0.9,1,0.3,18,5.6,19-10
2026,8,226,1,0.4,5,2.2,0,0.0,0,0.0,0,0.0,0,0.0,6,2.7,3,1.3,4,1.8,19,8.4,19-10
2026,9,253,4,1.6,3,1.2,0,0.0,0,0.0,0,0.0,1,0.4,6,2.4,3,1.2,4,1.6,21,8.3,19-10
2026,10,153,2,1.3,2,1.3,0,0.0,0,0.0,0,0.0,3,2.0,2,1.3,6,3.9,5,3.3,20,13.1,19-10
2026,11,273,5,1.8,5,1.8,0,0.0,0,0.0,0,0.0,0,0.0,12,4.4,13,4.8,8,2.9,43,15.8,19-14
2026,12,246,0,0.0,2,0.8,0,0.0,0,0.0,0,0.0,0,0.0,3,1.2,3,1.2,0,0.0,8,3.3,19-14
2026,13,264,2,0.8,6,2.3,0,0.0,0,0.0,0,0.0,2,0.8,2,0.8,3,1.1,4,1.5,19,7.2,19-14
2026,14,199,2,1.0,5,2.5,0,0.0,0,0.0,0,0.0,0,0.0,5,2.5,5,2.5,5,2.5,23,11.6,19-14
2026,15,285,5,1.8,2,0.7,0,0.0,0,0.0,0,0.0,4,1.4,4,1.4,6,2.1,4,1.4,25,8.8,19-18
2026,16,315,6,1.9,7,2.2,0,0.0,0,0.0,0,0.0,1,0.3,6,1.9,2,0.6,4,1.3,29,9.2,19-18
2026,17,255,5,2.0,3,1.2,0,0.0,0,0.0,0,0.0,3,1.2,6,2.4,6,2.4,3,1.2,26,10.2,19-18
2026,18,210,5,2.4,2,1.0,0,0.0,0,0.0,0,0.0,1,0.5,5,2.4,6,2.9,3,1.4,22,10.5,19-18
2026,19,286,5,1.7,3,1.0,0,0.0,0,0.0,0,0.0,6,2.1,10,3.5,5,1.7,2,0.7,31,10.8,19-22
2026,20,286,4,1.4,5,1.7,0,0.0,0,0.0,0,0.0,1,0.3,8,2.8,3,1.0,3,1.0,24,8.4,19-22
2026,21,312,3,1.0,8,2.6,0,0.0,0,0.0,0,0.0,4,1.3,4,1.3,7,2.2,6,1.9,34,10.9,19-22
2026,22,241,6,2.5,5,2.1,0,0.0,0,0.0,0,0.0,1,0.4,3,1.2,7,2.9,6,2.5,28,11.6,19-22
2026,23,310,5,1.6,9,2.9,0,0.0,0,0.0,0,0.0,3,1.0,3,1.0,9,2.9,7,2.3,36,11.6,19-26
2026,24,304,4,1.3,12,3.9,0,0.0,0,0.0,0,0.0,3,1.0,3,1.0,5,1.6,9,3.0,36,11.8,19-26
2026,25,302,9,3.0,22,7.3,0,0.0,0,0.0,0,0.0,5,1.7,8,2.6,3,1.0,8,2.6,56,18.5,19-26
2026,26,184,4,2.2,6,3.3,0,0.0,0,0.0,0,0.0,3,1.6,0,0.0,1,0.5,3,1.6,17,9.2,19-26
2026,27,283,9,3.2,30,10.6,0,0.0,0,0.0,0,0.0,6,2.1,4,1.4,8,2.8,6,2.1,64,22.6,19-30
2026,28,254,14,5.5,16,6.3,0,0.0,0,0.0,0,0.0,4,1.6,3,1.2,10,3.9,10,3.9,58,22.8,19-30
2026,29,255,14,5.5,22,8.6,0,0.0,0,0.0,0,0.0,5,2.0,4,1.6,9,3.5,9,3.5,63,24.7,19-30
2026,30,209,7,3.3,9,4.3,0,0.0,0,0.0,0,0.0,5,2.4,1,0.5,2,1.0,7,3.3,31,14.8,19-30
2026,31,305,14,4.6,33,10.8,0,0.0,0,0.0,0,0.0,5,1.6,5,1.6,6,2.0,7,2.3,70,23.0,19-34
2026,32,259,15,5.8,12,4.6,0,0.0,1,0.4,0,0.0,2,0.8,4,1.5,3,1.2,11,4.2,48,18.5,19-34
2026,33,234,14,6.0,10,4.3,0,0.0,0,0.0,0,0.0,0,0.0,2,0.9,5,2.1,5,2.1,36,15.4,19-34
2026,34,194,3,1.5,16,8.2,0,0.0,0,0.0,0,0.0,0,0.0,4,2.1,2,1.0,6,3.1,31,16.0,19-34
